Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Nikita Kucherov,30,TBL,RW,81,44,100,144,8,22,31,13,0,6,60,40,0,306,14.4,1755:10,21:40,"ASG,ASnhl-1,Byng-22,Hart-2,Ross-1"
Nathan MacKinnon,28,COL,C,82,51,89,140,35,42,41,10,0,9,51,38,0,405,12.6,1870:46,22:49,"ASG,ASnhl-1,Hart-1,Selke-37,Pearson-1"
Connor McDavid,27,EDM,C,76,32,100,132,35,30,24,7,1,5,63,37,0,263,12.2,1623:18,21:22,"ASG,ASnhl-2,Byng-29,Hart-3,Selke-30"
Artemi Panarin,32,NYR,LW,82,49,71,120,18,24,38,11,0,5,37,33,1,303,16.2,1649:45,20:07,"ASnhl-1,Byng-15,Hart-5"
David Pastrňák,27,BOS,RW,82,47,63,110,21,47,35,12,0,5,40,23,0,382,12.3,1634:14,19:56,"ASG,ASnhl-2,Byng-49,Hart-8"
Auston Matthews,26,TOR,C,81,69,38,107,31,20,51,18,0,8,26,11,1,369,18.7,1698:17,20:58,"ASG,ASnhl-3,Byng-3,Hart-4,Richard-1,Selke-3"
Leon Draisaitl,28,EDM,C,81,41,65,106,26,76,20,21,0,7,45,18,2,217,18.9,1676:20,20:42,ASG
Mikko Rantanen,27,COL,RW,80,42,62,104,19,50,28,14,0,9,36,26,0,271,15.5,1832:27,22:54,ASnhl-4
J.T. Miller,30,VAN,C,81,37,66,103,32,58,25,10,2,9,36,30,0,194,19.1,1578:41,19:29,"ASG,ASnhl-7,Hart-11,Selke-15"
William Nylander,27,TOR,C,82,40,58,98,1,24,26,11,3,7,33,24,1,316,12.7,1632:55,19:55,"ASG,ASnhl-6,Byng-37"
Kirill Kaprizov,26,MIN,LW,75,46,50,96,11,36,27,19,0,8,28,22,0,277,16.6,1618:16,21:35,"ASG,ASnhl-3,Byng-71"
Sidney Crosby,36,PIT,C,82,42,52,94,7,40,32,10,0,3,39,13,0,278,15.1,1647:07,20:05,"ASG,ASnhl-4,Byng-59,Hart-9,Selke-9"
